uri,Plant,Window,Building,Road surface,Brick,Brickwork,Flooring,Neighbourhood,Urban design,Residential area,Infrastructure,Thoroughfare,Travel,City,Road,Metropolitan area,Fixture,House,Automotive parking light,Car,Vehicle,Wheel,Tire,Skyscraper,Mode of transport,Photograph,Sky,Asphalt,Flower,Architecture,Yellow,Sidewalk,Property,Facade,Mixed-use,Land vehicle,Old State House,Render Coffee,
http://pwz.mit.edu/img/bos_st/download%20(1).jpeg,0.9705331921577454,0.9187021255493164,0.9082591533660889,0.8800783157348633,0.8695546388626099,0.8614311814308167,0.8174158930778503,0.8077714443206787,0.7997931241989136,0.7956734299659729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://pwz.mit.edu/img/bos_st/download%20(2).jpeg,0,0.896905779838562,0.9536840319633484,0,0,0,0,0.8182877898216248,0.8087770342826843,0,0.9009464979171753,0.8346722722053528,0.7780053019523621,0.7743781805038452,0.7735717296600342,0.7718603014945984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://pwz.mit.edu/img/bos_st/download%20(3).jpeg,0.8645628690719604,0.9411749839782715,0.9570993781089783,0.8295970559120178,0.8365628123283386,0,0.7775285840034485,0.8300029635429382,0,0,0,0,0,0.7852816581726074,0,0,0.8412203788757324,0.8162980675697327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://pwz.mit.edu/img/bos_st/download%20(4).jpeg,0,0.8619012832641602,0.9628131985664368,0,0,0,0,0,0,0,0.895385205745697,0,0,0,0,0,0,0,0.9759773015975952,0.9485099911689758,0.9421683549880981,0.9388217329978943,0.9236593246459961,0.8899450302124023,0.8446824550628662,0,0,0,0,0,0,0,0,0,0,0,0,0,
http://pwz.mit.edu/img/bos_st/download%20(5).jpeg,0,0.9386568665504456,0.967555046081543,0,0,0,0,0.8186201453208923,0.8011029958724976,0,0.895906388759613,0.8592370748519897,0,0,0,0,0,0,0,0.859898030757904,0.8939933180809021,0,0,0.8198327422142029,0.8613903522491455,0,0,0,0,0,0,0,0,0,0,0,0.44856855273246765,0,
http://pwz.mit.edu/img/bos_st/download%20(6).jpeg,0.8618906736373901,0,0.9628750085830688,0,0,0,0,0,0,0,0.9061607718467712,0.8632668852806091,0,0,0,0,0,0,0,0.9185034036636353,0.9201834797859192,0,0,0.9216685891151428,0,0.9422880411148071,0.8965752720832825,0.8748654723167419,0,0,0,0,0,0,0,0,0,0,
http://pwz.mit.edu/img/bos_st/download%20(7).jpeg,0.9456872344017029,0,0.940221905708313,0.8428710103034973,0,0,0,0.8145990371704102,0.8327533602714539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867042064666748,0,0.9567694664001465,0.8506947755813599,0.84116530418396,0.7974635362625122,0,0,0,0,0,0,
http://pwz.mit.edu/img/bos_st/download%20(8).jpeg,0,0.896380603313446,0.9596035480499268,0,0,0,0,0,0,0,0.897731602191925,0,0,0,0,0,0,0,0.9719767570495605,0.967001736164093,0.9367271661758423,0.9671941995620728,0.9358882904052734,0,0,0,0.9539040923118591,0,0,0,0,0,0.9438088536262512,0,0,0,0,0,
http://pwz.mit.edu/img/bos_st/download%20(9).jpeg,0,0,0.9278191924095154,0.8143864274024963,0,0,0,0.8429256081581116,0,0,0.8893718123435974,0,0.7892859578132629,0.7934630513191223,0.7779914140701294,0,0,0,0,0,0,0,0,0,0,0,0.9354679584503174,0,0,0,0,0,0,0.7120257616043091,0.704815149307251,0,0,0,
http://pwz.mit.edu/img/bos_st/download%20(10).jpeg,0,0.9388611316680908,0.9633780717849731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9777186512947083,0.9661229848861694,0.9455049633979797,0.9678774476051331,0.9171107411384583,0,0,0,0.9438872933387756,0,0,0,0,0,0.9436625242233276,0,0,0.9671542048454285,0,0.4890424907207489,
